file,name,type
d,DB010,i
d,DB030,i
d,DB040,c
d,DB060,i
d,DB090,d
d,DB100,i
h,HB030,i
h,HX040,i
h,HX060,i
h,HX240,d
h,vhRentaa,d
h,vhPobreza,i
h,vhMATDEP,i
r,RB010,i
r,RB030,i
r,RB080,i
r,RB090,i
r,RB200,i
r,vrLOWJOB,i
r,vrEU2020,i
p,PB030,i
p,PB040,d
p,PB210,i
p,PB220A,i
p,PE030,i
p,PE040,i
p,PE040_F,i
p,PL015,i
p,PL030,i
p,PL031,i
p,PL040,i
p,PL050,i
p,PL051,c
p,PL190,i
p,PL200,i
p,PT220,i
p,PT220_F,i
p,PT230,i
p,PT240,i
p,PT020,i
p,PT030,i
p,PT040,i
p,PT060,i
p,PT070,i
p,PT090,i
p,PT100,i
p,PT110,i
p,PT120,i
p,PT130,i
p,PT150,c
p,PT160,i
p,PT180,c
p,PT190,i
p,PT200,i
p,PT010,i
p,PT010_F,i
p,PM010,i
p,PM010_F,i
p,PM035,i
p,PM040,i
p,PM050,i
p,PM060,i
p,PM070,c
p,PM080,i
p,PM090,c
p,PM100,i'
